text,predicted
Justiça Estadual informa que bullying escolar será caso de Polícia em Cuiabá http://t.co/66xzSz8,religion
@EvvyKube not sure.,religion
"@Saeed6Ali @MaxBlumenthal @DaraDeBrun Since the slug is closer to your IQ, I can understand the fascination.",religion
@ShariRomine @emaleroland @dehneh1   Got it!  I'm learning.,religion
"@drlovegrove right?! I can't stop singing it, and I'm only 18..",religion
Ubisoft's attempts at pushing Uplay is rage-inducing.,religion
@TURBOCUNT they have some crazy flavors. wasabi? red bean?,religion
Twitter makes me laugh....Better than the series ;)))))) Very funny 👏👏👏👏👏  #MKR,religion
Did you say Ninjas???!,religion
@ErikaLopezDurel Definitions mean jack.  Actions do.,religion
#mkr those carrots look overdone,religion
@PoliticalAnt @Lithobolos And of course I would also fight against any theocracy - regardless of religion.,religion
Espero que ele fique bem! E que isso sirva de exemplo para todos ficarem em alerta em relação as práticas de bullying... o quanto é perigoso,religion
K! Now I see why coaches get mad when the players go out late at night. #Exhausted,religion
@GemmaBurnsX @_georgepumphrey my iphone is fucked it doesn't come up properly!,religion
@tpw_rules nothings broken. I was just driving througg a lot of water.,religion
"Not really feelin social for Xmas parties but just realized I don't have to deal with people saying""You're not done w school YET?"" this yr!",religion
YES. I LOVE @lenadunham. http://t.co/ycgTBmmdxb,religion
One of our strongest tools in stopping violence against women is public shame of the abuser and public support of the victim.,religion
Wish I was with my buddies @ALLLiiXXX and @paiwai in Staunton rather than this terrible driving class! I'm not even a bad driver #granny,religion
"@SSTwinrova I'm still at the stage where I've given up on finding a good task list mgt app that fits with my workflow, so I use a notepad.",religion
#MKR time. Have a feeling that the remote may go through the TV over the next hour with these two clowns.,religion
"@_joannedelacruz Oh, so I watched the wrong film first. haha that's why! :) I'll download it now hehe thanks!",religion
My review of Kindle Voyage: a resounding 'meh',religion
"Go jac n Shaz, looks great #mkr",religion
This yogurt made my morningg :),religion
Bubble and squeak for breakfast..are you mad? #mkr,religion
"Annie and Lloyd: ""vote"" is. It pronounced ""voite"". #mkr",religion
"@__QN i work monday 2-7, yayyy i get to see you again :) this is more than i saw you at school :O",religion
"RT @waxpancake: Awww, Vivek made a new friend! http://t.co/B482drk2pN",religion
Nome: Cantinho do sofá | Função: Praticar bullying contra meu dedinho. http://t.co/IdB3frq,religion
"#50factsaboutme I always feel like my ""friends"" just pretend to like me because they only talk to me in school",religion
Bullying felino http://t.co/h3lUhN7,religion
Today in 1910  Dr. Crippen is convicted at the Old Bailey of poisoning his wife and is subsequently hanged at Pentonville Prison in London.,religion
@BJB_22 Of course you can. Do you go to school wit Eddie?,religion
@puzzle_oni having a baby doesn't end your world.And none of the young mums I know were thinking about how they were gonna be yummy mummies!,religion
Thats bullying unghh!,religion
@NATgotemall never that not me lls,religion
I can't believe people are still surprised that Annie and Lloyd can't cook! #mkr,religion
"@nitin yes, absolutely. Almost exclusively used against women that are arguing against men.",religion
@RodrigoToller_ @20matarcom1tiro se ele colocou minha ft no twitpic me autorizou a cometer bullying Lei nº 930138978947324,religion
Reserve game is cancelled so that means I'm sitting on the bench the rest of the year,religion
"Birdman is more racist, misogynist trash masquerading as high art. Skip.",religion
"@Zillytbh @leighalexander oh shit, i accidentally blocked you. whoops.",religion
"@cheeseplus yeah. i'm kind of feeling like for what i'm doing, wsp is ok. for doing more granular monitoring, redis would be good.",religion
"@dampscot yup, i'm aware. :)",religion
I hate art. It's my hardest class.,religion
Hello birthday week!,religion
Here's an idea. How about the ability to mute someone for N period of time?,religion
"@THEBULL_T ur bully's look official ""no homo"" lol",religion
"RT @girlziplocked: .@Jason you have no idea what ""crazy internet mob"" looks like until you've seen what @femfreq @freebsdgirl and @TheQuinn…",religion
"@kebesays no, my blog post. :)",religion
@xCali_Boundx See: History of computer science and textile workers,religion
"@jihadiA_A By people, you mean men only.  The women are clearly imprisoned in their homes.",religion
@ANDAASONSAN https://t.co/dtjOHnRNhQ,religion
SAVE $12.52 - Bully Dog 33307 Custom A Pillar Mount $67.47 http://bit.ly/qwpC1I,religion
.@philippenis @ApuPunchau Proof?  Reliable source?,religion
@LifeInKhilafah That just means that the only kinds of Europeans you will get are crazy. Other places have the brainwashed and uneducated.,religion
"@lisawest99 ...falls in love with a young handsome... (continue to describe Tom Hiddleston:)))) She wants him to belong her entirely, but...",religion
I hope I can finish it in time,religion
@JordanL yup!,religion
"@SmoothStartup all tha time, info is meant 2b shared that way I can get more from a diff perspective, my page has a variety a ppl I follow",religion
"I need to invest in a YakBak so I can just press a button when I need to say ""ironic sexism is still sexism.""",religion
Bullying masivo para #LosCruzadoTwitteros que andaban en Talcahuano.,religion
#MKR Finally food I can relate to,religion
Asap rocky mmm mmmmm his voice is so sexy I don't care.,religion
Ever since I met you no one else has even been worth thinking about.,religion
Only half a semester left 😁🙏,religion
"@a_man_in_black sigh. prob w/being a public figure (which you are, like it or not) is that when you say shit like this, it causes a storm.",religion
@Zahoorgorsi The Daesh are doing a great job of producing hell on earth for the people living in their areas.,religion
"How come it is that the minute I get home, my family wind me up when I'm never annoyed like that at school? Grr #annoyingfamily",religion
#Koscielny off which #LiverpoolFC have to take advantage of. 2 rookies in this #Arsenal back 4 and Carroll needs to bully them,religion
"Asiik skarang aji yg jadi bhn bully? Nyekil siapose?""@sheilamatmalam: @ajiehatadji @pascaarafah tuh cha, si ajie nyekilllllll ( ¬͡͡˛ ¬͡͡”)""",religion
@femfreq You cannot make this shit up. It writes itself!,religion
I feel like this is necessary today: http://t.co/W70c7yjnpY,religion
Why are Annie and Lloyd cooking that for breakfast? #mkr,religion
"Remember RogueStar, dude that doxxed and led the mob against many, &amp; never delivered on 1st kickstarter? Has another https://t.co/6nbX7dXCvu",religion
"Preciso fazer um script de 10 minutos sobre bullying, Morra língua portuguesa ; Morra Professora !",religion
I appreciate every donation received. But ppl that threaten to pull funding if I don't say the things they want to hear can fuck themselves.,religion
RT @cvoter: The only way Global Media can pay respect to #CharlieHebdo martyrs is by reprinting and republishing them. Again &amp; again &amp; agai…,religion
"New Idea headline: ""#MKR shock! What are they hiding?"". Pretty sure they're hiding any ability to actually cook.",religion
:D,religion
"I'm with manu, if camping was involved I wouldn't show up either #MKR",religion
"Can't believe he did that AGAIN. Jesus. Hey dudes? Don't do that. Not ever. Ask yourself, would I do this to a guy? No? Then fucking STOP.",religion
"@discerningmumin We didn't overturn elections in either place, the people did, and the people have that right, as long as they elect new ppl",religion
"ethics in journalism. ETHICS. IN. JOURRRRRRRNALISM. No wonder he's friends with that walking burrito fart, milo.",religion
"You aren't just one person. There are many of us, and we all have voices. But more than that, we have resources, experience, and passion.",religion
"@stockputout not that high yet. Only like 1800 I think. I'm not even as geared as I should be, I haven't been playing that much.",religion
Preseason,religion
They need a couple of 8's? #MKR,religion
"Borad St Bully ,",religion
@anbaari16 Looks like things have turned around and the Daesh are now very quick to run away.,religion
I feel like change is gonna happen soon.,religion
stan got this A+ last word before blocking me: Ever heard of caustic #sarcasm? Rename yourself @yesyoureaBellend Thanks Awfully *mwah!* xxx,religion
@Slim_chaney I LOVE YOU,religion
Whether life's disabilities left you outcast bullied or teased rejoice and love yourself today cause babyyy u where born this way!!!!,religion
@JetsDoIt93 thankssss Joey!,religion
@Vrais66 And these. http://t.co/V3cf0aGlcp,religion
god bless my mom for bringing home chinese food,religion
"@YesYoureSexist If anyone is interested in contributing to the project in their discipline, I have an Excel template you can go to town on.",religion
whats Ja'mie doing in #MKR ? #summerheightshigh @ChrisLilley http://t.co/9npCYLVNLl,religion
Have you ever wondered where the idea of the 72 virgins comes from in Islam.  Here is the Hadith describing it. http://t.co/I978JpdfV2,religion
@aninkyaffair I am jealous.,religion
LIKE THE TIME IN SCHOOL WE GOT FREE LUNCH AND THE COOL KIDS BEAT US UP.,religion
@Matt_Cooke86 Nutrition is key to closing the .#Aboriginal life expectancy gap http://t.co/IHtNiRJMa9 @croakeyblog http://t.co/ktnqAD0TM3,religion
"It's refined and it's pretty. Like us!Seriously, someone get these girls English lessons, they have no idea what they're saying. #MKR",religion
#HowToGetAwayWithMurder? Serve raw #Spatchcock! #MKR #MKR2015,religion
Its great to hear @danyneville voice after a long day at work ♥,religion
FFS,religion
It was difficult. I questioned if it was a good idea until someone in the crowd came forward for a hug &amp; started crying. Then I was crying.,religion
I don't know how some people can talk about how often they get drunk on Facebook or Twitter. #KeepItClassy,religion
@RafayAgha I don't like people being bullied. I am the voice for the voiceless.,religion
When I have children and if I have a girl I'm naming her Frankie cause its such a cute fricking girl name omg..,religion
"you call me up again just to break me like a promise, so casually cruel in the name of being honest.",religion
"Kat and Andre celebrating bad cooking, bad attitude and strategic scoring. Absolute champs. #hell #MKR",religion
"@Palle_Hoffstein @CranBoonitz FreeBSD keeps getting emails about firing me, as well. Y'know, the open source OS i used to contribute to.",religion
We’re blowing up the sky like the fifth of November,religion
".@SlutWalkTO @JustLaurenB @Filotto @TheGags29 @bowtie_guy14 @MyLostGadget @LostSailorNY Agreed, sure but what does that have to do w #Page3?",religion
"@MisGrace @GBabeuf @RJennromao @DavidJo52951945 @Novorossiyan @gbazov @NewsCoverUp @rougek68 Russia, 157 out of 168 nations on pess freedom.",religion
My manager just killed a fucking bee in my hair....wtf,religion
#np Anti-Bully Zone by @charleshamilton.....one of my favorite beats/songs CH has ever done. so fucking deep.,religion
"Like, we've all got our own shit happening, but we've got to do better.",religion
#MKR did they even have chickens back in caveman times Pete?,religion
"take that Kat &amp; Andre, scum of the earth LOL #mkr. I just can't with them... #mykitchenrules.",religion
"@TherealTaraji Ck us out www.hbhliveapparel.com Sending out a positive messg ""Live"" Health Awareness, stop, gang, drug abuse, bullying ect",religion
@halalflaws @haroonstyles @AMohedin @islamdefense @greenlinerzjm Only two verses and we are making progress.,religion
RT @anildash: A friend's Facebook acct might get shut down because their legal name isn't the name they use/are known by. Anyone at FB know…,religion
Bad bad food. Plain and simple Kat. #MKR,religion
Hey Hey! Ho Ho! Union Bullying is Getting Really Old and Has to Stop http://t.co/8FISDJ4,religion
"@CavusSeyit I have no idea what makes you think that you are clever, because so far every one of your tweets has been moronic.",religion
"Stinky ass people, then they wonder why I don't come to school",religion
Will @Channel7 be offering us a pension... Seems that this season of #MKR2015 is never going to finish.. #MKR,religion
Wait did I see Pete &amp; Manu flying cattle class on Jetstar? Even I don't sink that low. 😂 #MKR,religion
@IHatebd I apologize if I wasn't clear. I think that statement is equally racist as the original tweet was sexist.,religion
vomit. #stopwadhwa2015 http://t.co/78tLSv56cs,religion
"while everybody went to school, i enjoyed my day in my bed sleeping. #feelingbetter",religion
great ball handling skills Will. Lloyd from #mkr could show you how its done,religion
"RT @Witchsistah: The Entire History of Anti-Racism, from My Birth To Now #TimWiseBookClub",religion
RT @wadhwa: I can't believe my Wikipedia page is under attack again. Don't they have policies against all this?,religion
"@iyad_elbaghdadi You are wrong about that. By definition, if they are really Muslims, they are terrorist.",religion
Accidentally numbed half my mouth. Dribbling everywhere.,religion
@AlwaysWrightHoe LMFAOOOOOOOOOOOOOOOOOOOOOOOOOO BRUH STOP!,religion
"@alwalawalbaraaa @DanieleRaineri LOL.  Making excuses for attacking the Kurds I see. But everything ISIS holds was stolen, including Raqqa.",religion
Another bloody instant restaurant week?!?! Seriously! They just jumped the shark riding two other sharks powered by shark power #MKR,religion
Hahahahaha blonde moment! #mkr,religion
"@obsurfer84 There is no ""interpretation"" to ""I was six years old"". Only Taquiyya Muslims trying to lie about it.",religion
I liked a @YouTube video http://t.co/gtYIRAo Bullying e Rodeios - #Vlog,religion
69% of Children Suffer Bullying at School =&gt; http://t.co/dAdyUj9 #bullying #cyberbullying,religion
"@taliyada @PatyCipriano AI CREDO, olhao bullying  :/  Mano, eu sou um gênio, claro que eu vou pra Corvinal (H) HSUAHSUAHUSHAU AQUELES",religion
"pain make your way to me, to me",religion
@diesel_frost but since most of the victims are women I guess you can't be arsed to give a shit about them.,religion
Aussie #mkr judges need to be Aussies I'm sorry ... &amp; ones who know how to comb their hair &amp; look presentable... AUSSIE contestants too pls!,religion
"RT @uk_expat: ISIS executing 'educated, professional women' http://t.co/6RezldQK9T #Daesh http://t.co/akK6sMvTnm",religion
"@morangutan Andrés, ¿porqué tanto bullying a Mario?  Él aporta con ideas y propuestas. Sugiero parar tanta mala onda.",religion
"Users want transparency in abuse systems, but there's a difficulty in this. It can allow people to game the system.",religion
Waiting @ thee orthodontist. Just wish it was actually for ME. (.___.),religion
"@TGF174 this is both season 2015 and 2016. Next they'll advertise it as ""continuing after the tennis."" #MKR",religion
Just wanna go home school gay...,religion
@JohnCena Don't be a Brahma Bully?,religion
"RT @jlgimenez85: #mkr Annie- go ahead, punch her in the ovaries!",religion
I can't trust a soul.,religion
"Haaaa, please let Kat/Andre go to sudden death! #MKR",religion
"@tpstigers it depends on how you define meaningful. if 3 people listen to you vs 30k, there's a huge difference in voice.",religion
"Dumb idea to put armed guards in schools. That would be the dumbest job on the planet. So boring, waiting to kill some crazy gunman. #dumb",religion
Bout to get my keys made,religion
Can I holla at you??? Lol,religion
@bradybaggett @LUVSHINECAFE Does talking to a few tell me how many want to kill apostates or implement Sharia?,religion
"RT @JakeM_1998: RT BillSpindle: It's all about power at the top, but for fighters on the ground #Tikrit is religious war on both sides …",religion
No u. http://t.co/zOr0eWahSS,religion
@RaikonL ok yeah i am.,religion
Where are they camping? Wasn't paying attention #mkr,religion
We only got a few more weeks until school ends praise god,religion
"@Zoebeastt Wow that undocumented, confirmation bias-stinking comment sure convinces no one!",religion
I wish he will back............ hahahaha-_-,religion
I'm thinking there is another round of instants coming  #mkr,religion
@chrylis @ClarkHat I've met plenty of people educated by private schools who still fail at basic grammar. ;),religion
Lots of ppl willing to give u that 'punch' you're missing Colin,religion
RT @HizmetMovement: 'Those committed to #democracy do not bow before #Erdogan' http://t.co/D1GXQR5AWs #YolsuzlukVeRüşvetYılı2014 #Turkey h…,religion
@MrMadeULook True &amp; she was still suffering from the backlash of that damn car accident. Her promo has been great this time around tho,religion
Whatsapp ?,religion
"If you fear your child is being bullied, this book can help make a difference and change everything. http://t.co/s34H5U8",religion
RT @beadsland: What find truly astounding is number of thought pieces that fail recognize how offensive the segment was even without the tw…,religion
@BRiTT_BRiT90 lmao guh these hoes dne told on me ion care fr fr.,religion
Give me all the things I need that money cant buy,religion
It's been several years since I've contributed code. This was due to a conflict with an employer. I *asked* for my commit bit to be retired.,religion
"Wadhwa had other women write a book about being a woman in tech, then he published it with his own name on the title. #stopwadhwa2015",religion
@JWYoder ouch.,religion
@gavinatkinson @karinjiri @devinteske i miss sysinstall. :(,religion
"@DianH4 The slave girl has no right at all, liar. The owner could kill here and there would be no punishment.",religion
"[Jonghyun]: Who is that, bring him/her over~! #JjongUFOReplies",religion
I do like Ash and Camilla the have screen presence #mkr,religion
No president has ever won without winning Ohio.,religion
@DannyVelasco @philippenis Just like the moon landing...,religion
@mykitchenrules time! THE TEXAN IS BACK BABY! #mykitchenrules #mkr,religion
RT @JamesMakienko: @omeisy @yemenrightsmon People in #Yemen see through #Russia supporting #houthis - already making fun of #putin https://…,religion
"@travel_abstract @hotelsdotcom happy to help, of course. email me at elliottc@gmail.com with details.",religion
It's not sauerkraut lol!! #mkr,religion
"Lance Armstrong Award for Sportsmanship 2015 goes to... Trevor Chappell opens envelope, announces winner is Kat! #MKR http://t.co/LHsphaw1cy",religion
¿Mayor acceso a la tecnología incrementa el acoso escolar o #bullying? ¿Por qué? http://t.co/Rib8BKk,religion
"Drama, drama, and more drama",religion
RT @halletecco: Feminists don't need to be female. Do not #stopWadhwa2015. Instead let's encourage more men to speak up. @wadhwa @jason,religion
@Abu_Rumaisa @hijra2IS I saw the Kobane clip.  It was 100% Daesh lies. http://t.co/nlZsw1TzsR,religion
Twitter on school computers...,religion
"RT @_CHYnese__: Miserable Martha's , Pathetic Patty's &amp; Bullshit Becky'sðððððð¤·ð½ââï¸ https://t.co/eB9QH9DyD7",religion
can u lend me your heart ?,religion
@comattwow @sweharris i have no idea what that is?!   a spam bot??? what is your malfunction?,religion
"@pazferanda por q me haces bulling, viste q me pone sensible el estar soltero :B",religion
Vibrating with excitement. Every day brings us closer to being able to make the announcement.,religion
@sailorhg @iroc oh my gosh. This is awesome.,religion
@qmarq @ChrisWarcraft im sitting at dinner and I'm like Chris... Chris... Chris Warcraft,religion
I now officially hate Kat and Andre I hope karma bites them hard. #mkr,religion
"Went to school late, got sent home early. Possibly wont be able to attend tomorrow. #spiderbite2",religion
RT @PSogeco: Little short and to the point ISLAM Lesson's for us which are ignorant http://t.co/m4Jcka5iR0 http://t.co/GANRH4K87a via @PSog…,religion
RT @shanley: literally after months of attacks there has not been one single criticism or response leveled of my actual work. so you know.,religion
"Yeah Kat I wouldn't laugh so hard you are about to be brought back down to earth, now who's laughing #mkr",religion
@ZiOrim @_Median_ @RushetteNY @Banko40 I doubt that you have ever been in a street fire fight. It's easy being an armchair hero.,religion
"http://t.co/F7w7deJ venham, aceito bullying tbm",religion
"RT @mishbucsai: If I hear ""hot"" ""pretty"" ""sassy"" ""like us"" one more time.. I will deconstruct.. #MKR #killerblondes",religion
Ideas And Help For Victims Of Bullying:  http://t.co/C0i3iZK,religion
Mad A'f,religion
@IAmMatticus @twitter will send an email tomorrow morning ;),religion
@thatarabianguy Islam is racist. http://t.co/vxkGGzKe8D,religion
